name,address,ward,localAuthority,lon,lat
Ladbrokes,29 Tweedale Street OL11 1HH,Milkstone and Deeplish,Rochdale,-2.1584145,53.6097455
Coral Racing Ltd,25 Drake Street OL16 1RX,Milkstone and Deeplish,Rochdale,-2.1556135,53.616332
Coral Racing Ltd,85 Milkstone Road OL11 1NT,Milkstone and Deeplish,Rochdale,-2.1548616,53.608394
William Hill,108 Yorkshire Street OL16 1JY,Milkstone and Deeplish,Rochdale,-2.1553632,53.619147
William Hill,4/6 Baillie Street OL16 1JG,Milkstone and Deeplish,Rochdale,-2.1576795,53.6175434
Ladbrokes,"Unit7, Stone Street Precint, Newhey Road, Milnrow OL16 4JD",Milnrow and Newhey,Rochdale,-2.107777,53.607687
Betfred,106 Manchester Street OL10 1DW,North Heywood,Rochdale,-2.211661,53.589735
David Pluck Racing,14-16 Market Street OL10 4LY,North Heywood,Rochdale,-2.2215648,53.5937895
William Hill,47/49 Market Place OL10 4NL,North Heywood,Rochdale,-2.2226335,53.5935785
William Hill,83 York Street OL10 4NR,North Heywood,Rochdale,-2.215976,53.5935989
Betfred,"23 Long Street, Middleton M24 6UQ",North Middleton,Rochdale,-2.1978975,53.5501083
Coral Racing Ltd,"14A-16 Wood Street, Middleton M24 5TF",North Middleton,Rochdale,-2.1994788,53.5502662
William Hill,"223 Boarshaw Road, Middleton M24 2WQ",North Middleton,Rochdale,-2.187107,53.556725
William Hill,"8A & 8B Wood Street, Middleton M24 5TF",North Middleton,Rochdale,-2.198885,53.549954
