area_code,area_name,geography,period,indicator,measure,unit,sex,age_group,value
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 4 years and under,16780
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 5 to 9 years,17815
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 10 to 14 years,18379
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 15 to 19 years,16865
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 20 to 24 years,14823
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 25 to 29 years,17481
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 30 to 34 years,19960
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 35 to 39 years,20067
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 40 to 44 years,17687
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 45 to 49 years,16161
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 50 to 54 years,18276
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 55 to 59 years,15136
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 60 to 64 years,12667
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 65 to 69 years,10725
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 70 to 74 years,9670
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 75 to 79 years,8733
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 80 to 84 years,5322
E08000001,Bolton,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 85 years and over,4488
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Females,All ages,140126
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 4 years and under,9197
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 5 to 9 years,8163
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 10 to 14 years,8509
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 15 to 19 years,8720
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 20 to 24 years,9104
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 25 to 29 years,9261
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 30 to 34 years,8653
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 35 to 39 years,9374
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 40 to 44 years,10549
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 45 to 49 years,10159
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 50 to 54 years,8924
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 55 to 59 years,7628
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 60 to 64 years,8514
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 65 to 69 years,6550
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 70 to 74 years,5476
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 75 to 79 years,4351
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 80 to 84 years,3417
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 85 years and over,3577
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Males,All ages,136660
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 4 years and under,9568
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 5 to 9 years,8715
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 10 to 14 years,9284
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 15 to 19 years,9202
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 20 to 24 years,8967
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 25 to 29 years,9024
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 30 to 34 years,8542
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 35 to 39 years,9170
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 40 to 44 years,10432
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 45 to 49 years,9899
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 50 to 54 years,8641
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 55 to 59 years,7716
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 60 to 64 years,8331
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 65 to 69 years,6484
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 70 to 74 years,5043
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 75 to 79 years,3580
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 80 to 84 years,2311
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 85 years and over,1751
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Persons,All ages,276786
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 4 years and under,18765
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 5 to 9 years,16878
