ward_code,ward_name,year,vacant_seats,candidate,party,votes,ballot_papers_issued,spoiled_ballots,electorate,elected,party_gain
E05000832,Longford,2018,1,ROYLE Pauline Brenda,UK Independence Party,60,3658,8,9128,FALSE,na
E05000832,Longford,2018,1,WESTBROOK Margaret Emily,Green Party,238,3658,8,9128,FALSE,na
E05000833,Priory,2018,1,BARKER George Robso,Conservative Party,988,3352,6,8191,FALSE,na
E05000833,Priory,2018,1,BAUGH Jane Everall,Labour Party,2018,3352,6,8191,TRUE,FALSE
E05000833,Priory,2018,1,GREER Paul Christopher,Green Party,170,3352,6,8191,FALSE,na
E05000833,Priory,2018,1,MACDONALD Michael,Liberal Democrats,170,3352,6,8191,FALSE,na
E05000834,St Mary's,2018,1,BIRD Louise Claire,Liberal Democrats,167,3432,8,8597,FALSE,na
E05000834,St Mary's,2018,1,CHILTON Rob,Conservative Party,2053,3432,8,8597,TRUE,FALSE
E05000834,St Mary's,2018,1,CHOUDHURY Mal Mohibullah,Labour Party,1054,3432,8,8597,FALSE,na
E05000834,St Mary's,2018,1,ROBERTSON-BROWN Nicholas Jonathan,Green Party,149,3432,8,8597,FALSE,na
E05000835,Sale Moor,2018,1,KIRK Czarina Dawn,Liberal Democrats,207,2777,5,7632,FALSE,na
E05000835,Sale Moor,2018,1,LEICESTER Jane Frances,Green Party,161,2777,5,7632,FALSE,na
E05000835,Sale Moor,2018,1,MEACHER Darren Christopher,Conservative Party,971,2777,5,7632,FALSE,na
E05000835,Sale Moor,2018,1,PATEL Elizabeth Alice Louise,Labour Party,1433,2777,5,7632,TRUE,FALSE
E05000836,Stretford,2018,1,LEPORI Simon Edward,Liberal Democrats,98,3130,8,7928,FALSE,na
E05000836,Stretford,2018,1,O'NEILL Liz,Green Party,211,3130,8,7928,FALSE,na
E05000836,Stretford,2018,1,ROYLE Ian,UK Independence Party,92,3130,8,7928,FALSE,na
E05000836,Stretford,2018,1,SLATER Jane Winifred,Labour Party,2231,3130,8,7928,TRUE,FALSE
E05000836,Stretford,2018,1,ZHI Shengke,Conservative Party,490,3130,8,7928,FALSE,na
E05000837,Timperley,2018,1,EVANS Nathan Morris France,Conservative Party,1694,4204,8,8479,TRUE,FALSE
E05000837,Timperley,2018,1,GARLICK Julia Elizabeth,Labour Party,718,4204,8,8479,FALSE,na
E05000837,Timperley,2018,1,JONES William,Liberal Democrats,1329,4204,8,8479,FALSE,na
E05000837,Timperley,2018,1,LEIGH Jadwiga Teresa,Green Party,113,4204,8,8479,FALSE,na
E05000837,Timperley,2018,1,TAYLOR Neil Anthony,The Liberal Party,342,4204,8,8479,FALSE,na
E05000838,Urmston,2018,1,CULLEN Kirsty,Liberal Democrats,130,3890,7,8591,FALSE,na
E05000838,Urmston,2018,1,DOUGLAS Krissy,UK Independence Party,138,3890,7,8591,FALSE,na
E05000838,Urmston,2018,1,MCGRATH Michelle Ann,Conservative Party,1217,3890,7,8591,FALSE,na
E05000838,Urmston,2018,1,PROCTER Kevin Alan,Labour Party,2243,3890,7,8591,TRUE,FALSE
E05000838,Urmston,2018,1,WOODWARD Timothy John,Green Party,155,3890,7,8591,FALSE,na
E05000839,Village,2018,1,CAREY Thomas John Patrick,Conservative Party,1331,3267,6,7929,TRUE,TRUE
E05000839,Village,2018,1,FISHWICK Tony,Liberal Democrats,1003,3267,6,7929,FALSE,na
E05000839,Village,2018,1,O'BRIEN Tony,Labour Party,742,3267,6,7929,FALSE,na
E05000839,Village,2018,1,O'NEILL Angela Marie,UK Independence Party,106,3267,6,7929,FALSE,na
E05000839,Village,2018,1,WESTBROOK Matthew John,Green Party,73,3267,6,7929,FALSE,na
