date,count,rate,wd15cd,wd15nm,lad15cd,lad15nm
2015-02-01,75,1.2,E05000749,Milnrow and Newhey,E08000005,Rochdale
2015-02-01,30,0.5,E05000750,Norden,E08000005,Rochdale
2015-02-01,200,3,E05000751,North Heywood,E08000005,Rochdale
2015-02-01,160,2.3,E05000752,North Middleton,E08000005,Rochdale
2015-02-01,265,3.7,E05000753,Smallbridge and Firgrove,E08000005,Rochdale
2015-02-01,115,1.9,E05000754,South Middleton,E08000005,Rochdale
2015-02-01,180,2.6,E05000755,Spotland and Falinge,E08000005,Rochdale
2015-02-01,70,1,E05000756,Wardle and West Littleborough,E08000005,Rochdale
2015-02-01,200,2.8,E05000757,West Heywood,E08000005,Rochdale
2015-02-01,255,3.4,E05000758,West Middleton,E08000005,Rochdale
2015-02-01,270,3.3,E05000759,Barton,E08000006,Salford
2015-02-01,50,0.8,E05000760,Boothstown and Ellenbrook,E08000006,Salford
2015-02-01,515,5.3,E05000761,Broughton,E08000006,Salford
2015-02-01,90,1.3,E05000762,Cadishead,E08000006,Salford
2015-02-01,85,1.3,E05000763,Claremont,E08000006,Salford
2015-02-01,175,2.3,E05000764,Eccles,E08000006,Salford
2015-02-01,120,2,E05000765,Irlam,E08000006,Salford
2015-02-01,290,2.8,E05000766,Irwell Riverside,E08000006,Salford
2015-02-01,180,2.4,E05000767,Kersal,E08000006,Salford
2015-02-01,385,4,E05000768,Langworthy,E08000006,Salford
2015-02-01,430,5.1,E05000769,Little Hulton,E08000006,Salford
2015-02-01,260,1.7,E05000770,Ordsall,E08000006,Salford
2015-02-01,180,2,E05000771,Pendlebury,E08000006,Salford
2015-02-01,200,2.8,E05000772,Swinton North,E08000006,Salford
2015-02-01,160,2.2,E05000773,Swinton South,E08000006,Salford
2015-02-01,300,3.9,E05000774,Walkden North,E08000006,Salford
2015-02-01,100,1.7,E05000775,Walkden South,E08000006,Salford
2015-02-01,225,2.6,E05000776,Weaste and Seedley,E08000006,Salford
2015-02-01,225,2.8,E05000777,Winton,E08000006,Salford
2015-02-01,40,0.7,E05000778,Worsley,E08000006,Salford
2015-02-01,85,1.1,E05000779,Bramhall North,E08000007,Stockport
2015-02-01,35,0.5,E05000780,Bramhall South and Woodford,E08000007,Stockport
2015-02-01,125,1.5,E05000781,Bredbury and Woodley,E08000007,Stockport
2015-02-01,190,2.3,E05000782,Bredbury Green and Romiley,E08000007,Stockport
2015-02-01,660,6.4,E05000783,Brinnington and Central,E08000007,Stockport
